,user.index,sugg.decision.utime,sugg.device.since,recognized.activity,dec.location.category,dec.weather.condition,dec.temperature,dec.windspeed,dec.precipitation.chance,dec.snow,jbmins60,jbsteps60,Time of Day
487,3,2015-07-25 18:31:35,0.0257500000132455,STILL,"gym,university,health,point_of_interest,establishment",Scattered Clouds,29.5,0.0,15.0,0.0,0.0,0.0,18:31:35
489,3,2015-07-26 00:31:31,0.42,STILL,"gym,university,health,point_of_interest,establishment",Mostly Cloudy,27.6,0.9,53.0,0.0,1.0,29.0,00:31:31
493,3,2015-07-26 21:31:54,1.8125,STILL,"park,point_of_interest,establishment",Partly Cloudy,29.8,1.7,0.0,0.0,0.0,0.0,21:31:54
494,3,2015-07-27 00:34:21,1.01194444444444,STILL,"gym,university,health,point_of_interest,establishment",Mostly Cloudy,25.7,0.0,0.0,0.0,0.0,0.0,00:34:21
495,3,2015-07-27 13:32:23,0.172222222222222,STILL,work,Clear,23.9,0.0,0.0,0.0,0.0,0.0,13:32:23
496,3,2015-07-27 15:31:30,0.0141666666666667,STILL,work,Clear,28.3,0.0,0.0,0.0,0.0,0.0,15:31:30
497,3,2015-07-27 18:31:59,2.225,STILL,work,Clear,33.1,0.0,0.0,0.0,0.0,0.0,18:31:59
498,3,2015-07-27 21:35:39,5.28611111111111,IN_VEHICLE,"clothing_store,store,point_of_interest,establishment",Clear,30.5,1.7,0.0,0.0,0.0,0.0,21:35:39
499,3,2015-07-28 00:32:28,8.23305555555556,STILL,"gym,university,health,point_of_interest,establishment",Clear,27.3,0.0,0.0,0.0,18.0,839.0,00:32:28
503,3,2015-07-28 21:31:32,29.2175,STILL,"store,car_repair,point_of_interest,establishment",Partly Cloudy,25.7,0.0,0.0,0.0,16.0,709.0,21:31:32
504,3,2015-07-29 00:30:55,32.2072222222222,ON_FOOT,"restaurant,food,point_of_interest,establishment",Partly Cloudy,23.5,1.7,0.0,0.0,27.0,2073.0,00:30:55
506,3,2015-07-29 15:21:15,47.0461111111111,STILL,work,Partly Cloudy,28.4,0.0,15.0,0.0,5.0,308.0,15:21:15
507,3,2015-07-29 18:32:00,50.2252777777778,STILL,work,Partly Cloudy,31.8,0.0,35.0,0.0,0.0,0.0,18:32:00
509,3,2015-07-29 23:02:49,54.7388888888889,ON_FOOT,"gym,university,health,point_of_interest,establishment",Mostly Cloudy,26.5,1.7,15.0,0.0,31.0,2654.0,23:02:49
510,3,2015-07-30 13:31:48,69.2219444444444,STILL,work,Clear,28.1,0.0,0.0,0.0,0.0,0.0,13:31:48
511,3,2015-07-30 15:23:29,71.0833333333333,STILL,"funeral_home,park,point_of_interest,establishment",Clear,28.1,0.0,0.0,0.0,2.0,108.0,15:23:29
514,3,2015-07-30 23:02:04,78.7263888888889,IN_VEHICLE,"pet_store,store,point_of_interest,establishment",Clear,26.4,1.6,0.0,0.0,3.0,179.0,23:02:04
522,3,2015-08-01 18:31:35,122.218333333333,STILL,"park,point_of_interest,establishment",Mostly Cloudy,27.0,1.6,15.0,0.0,9.0,234.0,18:31:35
523,3,2015-08-01 20:32:30,124.233611111111,STILL,"park,point_of_interest,establishment",Partly Cloudy,28.2,2.2,15.0,0.0,2.0,129.0,20:32:30
524,3,2015-08-01 23:02:08,126.7275,STILL,"gym,university,health,point_of_interest,establishment",Clear,26.8,2.2,0.0,0.0,1.0,11.0,23:02:08
527,3,2015-08-02 18:31:44,146.220833333333,STILL,"gym,university,health,point_of_interest,establishment",Clear,31.4,7.0,15.0,0.0,6.0,317.0,18:31:44
532,3,2015-08-03 18:32:06,170.226944444444,STILL,work,Clear,19.1,0.0,0.0,0.0,3.0,104.0,18:32:06
533,3,2015-08-03 20:32:15,172.229444444444,STILL,work,Clear,19.1,0.0,0.0,0.0,4.0,213.0,20:32:15
534,3,2015-08-03 23:03:50,174.755833333333,STILL,"gym,university,health,point_of_interest,establishment",Clear,16.1,0.0,0.0,0.0,2.0,77.0,23:03:50
536,3,2015-08-04 15:26:56,191.140833333333,STILL,work,Mostly Cloudy,24.7,3.0,15.0,0.0,16.0,904.0,15:26:56
539,3,2015-08-04 23:01:33,198.717777777778,IN_VEHICLE,"store,point_of_interest,establishment",Partly Cloudy,24.0,1.1,0.0,0.0,9.0,381.0,23:01:33
543,3,2015-08-05 20:31:11,220.211666666667,IN_VEHICLE,"store,point_of_interest,establishment",Mostly Cloudy,24.5,0.0,0.0,0.0,3.0,175.0,20:31:11
548,3,2015-08-06 20:31:15,244.212777777778,IN_VEHICLE,"car_dealer,store,point_of_interest,establishment",Clear,-1024.0,-1.0,-1.0,-1.0,1.0,14.0,20:31:15
554,3,2015-08-07 23:03:43,270.753888888889,STILL,"gym,university,health,point_of_interest,establishment",Mostly Cloudy,23.3,0.0,0.0,0.0,19.0,1270.0,23:03:43
558,3,2015-08-08 20:31:33,292.217777777778,IN_VEHICLE,"food,store,point_of_interest,establishment",Overcast,23.5,0.0,0.0,0.0,14.0,790.0,20:31:33
559,3,2015-08-08 23:01:19,294.713888888889,ON_FOOT,"bar,restaurant,food,point_of_interest,establishment",Overcast,23.3,1.0,0.0,0.0,17.0,1011.0,23:01:19
562,3,2015-08-09 18:31:14,314.2125,UNKNOWN,"clothing_store,shoe_store,store,point_of_interest,establishment",Overcast,24.9,1.6,0.0,0.0,12.0,467.0,18:31:14
563,3,2015-08-09 20:31:07,316.210555555556,ON_FOOT,"park,point_of_interest,establishment",Clear,26.6,0.0,0.0,0.0,12.0,656.0,20:31:07
564,3,2015-08-09 23:01:49,318.722222222222,STILL,"gym,university,health,point_of_interest,establishment",Clear,25.8,1.1,0.0,0.0,1.0,22.0,23:01:49
571,3,2015-08-11 15:22:18,359.063611111111,STILL,work,Partly Cloudy,23.3,3.0,15.0,0.0,1.0,53.0,15:22:18
